"id","outline_name","investigator_id","site_id","Site","country","long","lat","Period","length","width","thickness","weight","reference"
"TR 2062 H14/15 NV","16_d_hoejgaard",16,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",60.1,20.1,,17.68,
"PF 2062 H12/14 SV","17_d_hoejgaard",17,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",54.9,22,,6.8,
"ZX 13/16 SØ","18_d_hoejgaard",18,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",54.4,18,,5.43,
"KR 2062 12/15 NØ","19_d_hoejgaard",19,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",44.1,20.3,,5.25,
"TP 2062 H 15/13 NØ","20_d_hoejgaard",20,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",57.3,15.2,,5.6,
"YC H 12/15 NV","21_d_hoejgaard",21,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",52.5,19.6,,2.7,
"UO 2062 H 12/14 NV","22_d_hoejgaard",22,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",39.8,13.3,,3.43,
"PD 2062 11/15 NØ 32 vandret","23_d_hoejgaard",23,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",47.4,20.2,,3.36,
"LX 2062 H 12/14 NV","24_d_hoejgaard",24,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",41,11.8,,1.69,
"41S13","25_d_hoejgaard",25,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",73.5,35.5,,24.33,
"108S1","26_d_hoejgaard",26,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",84.1,26.5,,21.32,
"108S9","27_d_hoejgaard",27,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",63.8,27.6,,12.88,
"89S3","28_d_hoejgaard",28,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",67.1,29.7,,23.92,
"88S2","29_d_hoejgaard",29,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",71.2,26.5,,22.22,
"75S5","30_d_hoejgaard",30,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",74.4,21,,50.6,
"87S20","31_d_hoejgaard",31,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",79.4,25.4,,9.81,
"73P5","32_d_hoejgaard",32,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",65.4,21.8,,4.72,
"74S12","33_d_hoejgaard",33,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",57.7,15.2,,3.02,
"73S2","34_d_hoejgaard",34,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",79,34.4,,35.18,
"16S153","35_d_hoejgaard",35,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",48,18.8,,4.75,
"107S21","36_d_hoejgaard",36,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",54.8,17.3,,5.28,
"108S16","37_d_hoejgaard",37,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",69.1,20.3,,6.27,
"7S37","38_d_hoejgaard",38,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",46.6,16.8,,3.78,
"100/100:2046","100-100;2046_trollesgave","100-100;2046","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",90.6,44.6,,78.37,
"100/100:2068","100-100;2068_trollesgave","100-100;2068","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",46.9,21.6,,6.76,
"100/100:2073","100-100;2073_trollesgave","100-100;2073","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",51.4,21.1,,7.7,
"100/100:2080","100-100;2080_trollesgave","100-100;2080","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",103.1,48.8,,70.91,
"100/100:2101","100-100;2101_trollesgave","100-100;2101","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",51.8,10,,3.68,
"100/100:2163","100-100;2163_trollesgave","100-100;2163","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",86.6,25.1,,21.13,
"100/100:2164","100-100;2164_trollesgave","100-100;2164","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",68.1,22.8,,16.51,
"100/100:2166","100-100;2166_trollesgave","100-100;2166","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",70.8,17.6,,6.38,
"100/101:1007","100-100;1007_trollesgave","100-101;1007","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",56.7,20.7,,5.72,
"100/101:2021","100-101;2021_trollesgave","100-101;2021","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",49.1,16.1,,4.01,
"100/116:1057","100-100;1057_trollesgave","100-116;1057","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",55.4,21.1,,8.56,
"100/123:1001","100-123;1001_trollesgave","100-123;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",74.4,26.2,,29.92,
"100/90:1002","100-90;1002_trollesgave","100-90;1002","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",57.3,18.6,,6.61,
"101/101:1001","101-101;1001_trollesgave","101-101;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",54.6,24.6,,8.3,
"101/104:1001","101-104;1001_trollesgave","101-104;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",112.4,25.9,,29.27,
"101/184:1001","101-184;1001_trollesgave","101-184;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",115.9,39.9,,111.76,
"102/106:1003","102-106;1003_trollesgave","102-106;1003","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",47.4,28.4,,14.03,
"104/100:1001","104-100;1001_trollesgave","104-100;1001","trollesgave","Trollesgave","DK",11.81,55.27,"Allerød/GI-1a-c ",43.2,26.3,,9.68,
