count;id;investigator;investigator_id;code;site;country;classification;long;lat;negatives;cortex;ba_1_1;ba_1_2;ba_1_3;ba_1_4;ba_2_1;ba_2_2;ba_2_3;ba_3_1;ba_3_2;ba_3_3;ba_3_4;ba_4_1;ba_4_2;ba_4_3;ba_5_1;ba_5_2;ba_5_3;ba_6_1;ba_6_2;ba_6_3;ba_6_4;ba_6_5;ba_6_6;ba_7_1;ba_7_2;ba_7_3;ba_7_4;ba_7_5;ba_8_1;ba_9_1;ba_9_2;ba_9_3;ba_10_1;ba_10_2;ba_10_3;ba_10_4;ba_10_5;ba_10_6;ba_10_7;ba_11_1;ba_11_2;ba_11_3;ba_11_4;ba_11_5;ba_12_1;ba_12_2;ba_12_3;ba_12_4;ba_12_5;ba_12_6;ba_12_7;ba_13_1;ba_13_2;ba_14_1;ba_14_2;ba_14_3;ba_15_1;length;width;prox.thick;mes.thick;dist.thick;butt.thick;butt.width;weight
14;12_658;"MVM; JBP";14;;Oldeholtwolde;NL;Hamburgian;;;5;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;30.7;11.4;2.2;2.6;1.7;1.3;4.3;0.93
15;12.05.19;"MVM; JBP";15;;Oldeholtwolde;NL;Hamburgian;;;4;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;34.6;9;2;1.6;1.6;1.1;3.3;0.67
16;12_2382;"MVM; JBP";16;;Oldeholtwolde;NL;Hamburgian;;;2;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;20.3;6.7;3.5;2.8;2.6;4.3;5.9;0.42
17;12_5050;"MVM; JBP";17;;Oldeholtwolde;NL;Hamburgian;;;5;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;37.2;14.7;2.5;2.4;1;0.9;5.3;1.26
18;12_3572;"MVM; JBP";18;;Oldeholtwolde;NL;Hamburgian;;;5;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;33.3;7.2;2.1;2.7;2;1.8;2.6;0.81
19;12.4970, 12.4930;"MVM; JBP";19;;Oldeholtwolde;NL;Hamburgian;;;3;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;39.6;11.6;2.1;2.9;1.7;1.5;3.2;1.31
20;12:6:134, 12_3705;"MVM; JBP";20;;Oldeholtwolde;NL;Hamburgian;;;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;37.8;7.3;1.4;1.7;2;1.1;2.7;0.44
21;12_400;"MVM; JBP";21;;Oldeholtwolde;NL;Hamburgian;;;8;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;77.1;24;3.7;5.9;2.9;2;5.5;10.64
22;12_1394, 12_950;"MVM; JBP";22;;Oldeholtwolde;NL;Hamburgian;;;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;43.2;7.3;1.9;1.9;1.2;1.1;2.1;0.65
1;100/100:2164;"MVM; JBP; FR";1;;Trollesgave;DK;Bromme;;;5;25;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;90.6;44.6;14.3;15.7;11.3;13;18.7;78.37
